airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ag47ct02r,ok,,48.031697788,1226708828.4,348866.03085,2264118.2209,399134130.88,265569.62914,80492097.872,0.0,0.0,0.0,-3.9174997827e-08,2.5456148301e-09,2.2932859319e-09,4.3568305564e-08,0.0,0.0,1.5773019922e-08,0.0,0.0,0.0,0.0,-1.97822585e-08,0.18833024774,0.0094145447683,-0.0055026708547,0.015199501833
ag55,ok,,50.623194973,1292894547.9,674467.31508,3505419.5523,412092434.12,539409.12408,91149309.948,0.0,0.0,0.0,-2.9025373034e-08,2.435605612e-09,1.4895896258e-09,3.5069201433e-08,0.0,0.0,2.320804144e-09,0.0,0.0,0.0,0.0,-1.0183339739e-08,0.20746455284,0.014517391736,-0.0015653065398,0.023653030132
ah63k127,ok,,53.260296428,1360244980.7,3122899.1778,12399728.107,421564901.9,2611269.9063,102937803.67,0.0,0.0,0.0,-1.0314868254e-08,2.2123637264e-09,-1.4011825793e-09,1.3865309075e-08,0.0,0.0,-3.8010785717e-08,0.0,0.0,0.0,0.0,-1.4371967495e-09,0.22374777147,0.026095577228,0.11870385146,0.04329996231
ah6407,ok,,53.747747012,1372694258.2,744753.25876,6198946.2533,429354426.91,871342.44374,106859406.06,0.0,0.0,0.0,-4.7076642437e-08,2.4792885095e-09,-3.4502280719e-09,8.9468972289e-08,0.0,0.0,-6.6725319792e-08,0.0,0.0,0.0,0.0,-7.7012865218e-09,0.2311657602,0.039470440639,0.049693899357,0.066632308671
ah7476,ok,,53.753833493,1372849704.3,578375.63444,6381886.6104,429232077.4,801784.61246,106887284.27,0.0,0.0,0.0,-5.6137634908e-08,2.0962057711e-09,-1.3033546473e-08,1.2764676141e-07,0.0,0.0,-1.7463016975e-07,0.0,0.0,0.0,0.0,1.4165426759e-09,0.2308724772,0.045272566904,0.10100183522,0.073827776615
ah79100c,ok,,54.127679875,1382397579.5,2006254.8523,10415588.326,426833517.65,1965139.4639,107678315.13,0.0,0.0,0.0,-2.3416271964e-08,1.8782352803e-09,-4.3739925587e-09,3.8385777601e-08,0.0,0.0,-4.4195435336e-08,0.0,0.0,0.0,0.0,5.1052650708e-09,0.22752081271,0.048303808633,0.088667306593,0.07701165257
ah79k132,ok,,53.788245519,1373728572.6,3573782.2569,13618933.064,424605691.36,2966432.4214,105752530.78,0.0,0.0,0.0,-9.0912022947e-09,2.2457765234e-09,-5.6508800602e-10,1.1916248839e-08,0.0,0.0,-3.119351779e-08,0.0,0.0,0.0,0.0,-3.9290222905e-09,0.22625785784,0.024334762984,0.11147884041,0.042586078668
ah79k135,ok,,53.776706635,1373433874.5,3710780.6295,13741413.572,424799696.02,3032473.1549,105754336.17,0.0,0.0,0.0,-7.424563138e-09,2.2143407973e-09,-4.176383476e-10,9.5334536338e-09,0.0,0.0,-2.9567385085e-08,0.0,0.0,0.0,0.0,-3.1669811716e-09,0.22661320481,0.020340375438,0.10971807984,0.035376555077
ah80129,ok,,53.844147315,1375156280.3,3302647.2676,12989549.819,424947641.54,2801582.6645,106055210.97,0.0,0.0,0.0,-1.0417321502e-08,2.2942538857e-09,-9.2598662854e-10,1.4449838915e-08,0.0,0.0,-3.8745216445e-08,0.0,0.0,0.0,0.0,-4.6113277336e-09,0.22900278693,0.026230994256,0.12796178323,0.047722721011
ah81k144,ok,,54.01453323,1379507863.1,4207014.3663,16283945.724,424632067.74,3568227.9451,106659680.96,0.0,0.0,0.0,-8.244009165e-09,2.1791805124e-09,-9.2721002622e-10,1.1609509717e-08,0.0,0.0,-2.6610610393e-08,0.0,0.0,0.0,0.0,-1.9603191126e-09,0.22626832268,0.02783519655,0.11195122022,0.048841374165
