airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,tc2,tc3,sc2,sc3
mh22,ok,,28.821409196,2557032501.6,224868.33635,1090562.5655,108308537.14,1341810.4977,180081506.17,0.20984358924,0.011613827101,0.022185139976,0.021464394016
mh25,ok,,30.538265371,2709351807.3,600632.2525,1984108.2643,112916974.02,3380943.525,210503967.66,0.23315740906,0.010665699441,0.15469219721,0.01714023076
miley,ok,,29.836181677,2647063013.2,694378.75693,3570475.7968,109475995.66,4843601.3155,194894586.39,0.21249391243,0.031111562323,0.015210931699,0.058935119385
n22,ok,,31.255483102,2772983291.7,808143.41155,3137857.1951,114682332.82,5095253.6091,224030280.04,0.23439785359,0.045623769474,0.026887611342,0.072631461196
n63415,ok,,30.025480066,2663857547.0,1089976.9283,4184586.4646,110170058.29,6639349.5717,198585887.87,0.21470466843,0.016938799964,0.051844846016,0.024451326251
n64212,ok,,29.643852073,2629999550.2,688788.90665,2631478.4134,109725316.91,4070564.7742,192738420.66,0.21568988327,0.0084442412893,0.075796181962,0.012342651937
naca001064,ok,,30.827167244,2734983152.2,573647.34713,1866554.9504,114085940.45,3227589.9913,216707978.04,0.23674883309,2.5702165062e-16,0.11458870532,2.9537389481e-09
naca1408,ok,,30.078853597,2668592841.3,314352.37335,1203681.2067,112035169.03,1797652.2949,202599442.46,0.22797429433,0.006977911101,0.041955740923,0.011775967119
naca16006,ok,,30.141108884,2674116124.1,183682.65123,641376.08581,112204558.9,999870.75457,203692809.76,0.23866071143,1.3537575439e-15,0.22877583184,3.0591225909e-09
naca2418,ok,,31.850120021,2825739418.9,1692624.3888,5346539.1622,115690972.29,10956963.938,234819034.2,0.23140951434,0.013978011382,-0.0101860098,0.023655601708
mh62,error,Case failed and returned no VABS output.,,,,,,,,,,,
naca2424,ok,,32.392143366,2873827675.0,2935959.3852,8763755.282,115395334.53,20242989.816,242488640.48,0.22280977915,0.014410309804,-0.024980029274,0.023251886768
naca633618,ok,,30.538803529,2709399552.6,1572533.0579,5971447.1216,110840765.54,9846992.9691,206750500.41,0.21541631239,0.025482616266,0.047338525042,0.03656884452
naca643618,ok,,30.672590639,2721269131.4,1579789.0061,5856093.5012,111302455.7,9865857.1462,209424104.28,0.21850310561,0.025413582073,0.062987685813,0.036846583852
naca671215,ok,,31.037665547,2753658540.3,1369964.7165,4353222.3555,113597838.66,7925303.0009,218862134.62,0.2335077361,0.0083335857243,0.19145199259,0.012687903851
rc08n1,ok,,29.779499696,2642034193.6,296970.52253,1189181.0894,111081914.59,1738644.8909,196922815.53,0.22409940369,0.0090824075639,0.093214045139,0.017274846234
s2027,ok,,30.220954567,2681200024.9,1026265.9205,4007226.1633,110778156.95,6337192.2079,202305939.02,0.21759550145,0.019881085603,0.032333505765,0.032473633594
rae100,ok,,29.926496919,2655075772.2,470893.18039,1867744.1757,111253360.29,2757688.966,199180034.85,0.21934801714,-3.4362689251e-10,-0.00353851294,-5.3717683787e-09
s2050,error,Case failed and returned no VABS output.,,,,,,,,,,,
s2062,ok,,29.370584615,2605755289.1,312687.49845,1297941.0928,109592016.94,1813268.7546,188991783.49,0.21574750537,0.012776951155,0.04697004853,0.019733676155
s3021,ok,,29.943132287,2656551660.5,431607.18196,1837333.4411,110976617.88,2662029.744,198895647.69,0.2211624719,0.020344490825,0.02957294845,0.034991740834
s6061,ok,,29.306756088,2600092428.6,397009.75757,1630021.8769,109137598.65,2322740.9627,187381561.5,0.21377014118,0.012437047728,0.051803070282,0.020568109576
s9032,ok,,29.559387292,2622505843.4,370193.21737,1541147.0681,110249825.84,2152285.7545,192601439.93,0.21535139997,2.0874153842e-08,-0.013253910643,-2.5824493648e-08
sg6043,error,Failed to read VABS output: C:\Users\tian50\work\dev\msg-examples\examples\airfoil_cross_sections\evals_skin_cfrp_001\sg6043\airfoil_cs.sg.k,,,,,,,,,,,
sd8020,ok,,30.322958965,2690249844.8,516210.45936,1895718.9805,112359760.52,2990600.5227,206502479.44,0.22677724492,9.0634056521e-07,0.024175011613,1.6677730269e-06
s9033,ok,,28.836629309,2558382828.4,234644.24068,1098836.5794,108500146.88,1350741.28,180624425.95,0.20646592214,1.7355389919e-08,-0.033072308192,-2.1911647725e-08
usa40,ok,,30.592947989,2714203243.7,843667.77699,3685189.3706,112282904.16,5458459.9478,210198765.23,0.21976032434,0.031129370721,-0.011631156895,0.049429430234
usa41,ok,,29.264969454,2596385122.6,184712.19832,1384972.9272,109475777.53,1424067.2984,187816172.62,0.21403508688,0.032206670382,0.024341185569,0.05357904506
vr9,ok,,28.510792867,2529474652.3,151416.87243,691763.34455,107603233.55,845035.1541,175136480.39,0.20989537444,0.0022085898021,0.071313364215,0.0036811989453
waspsm,ok,,30.71435137,2724974139.3,414894.55258,1773854.0772,113776700.79,2601299.3223,214594897.95,0.2317632849,0.020966942933,0.0085798014145,0.036418294308
ys930,ok,,30.411924871,2698142891.0,464012.44329,1814656.5989,112390961.68,2819908.0644,207781972.84,0.23168750837,0.01915137795,0.11223212672,0.031970561127
zv15_35,ok,,30.752621798,2728369487.8,1099619.0809,4491573.9249,112535907.89,6933468.207,212871989.48,0.21501580981,-0.0014939399064,-0.055798499399,-0.0045075004987
bw3,error,Case failed and returned no VABS output.,,,,,,,,,,,
