airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
sp4721la,ok,,31.807925731,332838770.39,2690039.5288,9986785.5471,150156477.32,1577506.1837,27773332.606,-1.7940015996e-09,8.4125573726e-09,-1.9424984817e-08,-1.6471194792e-08,8.2296726153e-09,-2.1703053293e-09,1.478395276e-08,3.4810467908e-08,-1.5648515845e-10,-2.0900149072e-08,-2.9547406046e-09,3.1906992212e-08,-4.5066684353e-09,-4.5703376944e-09,8.4212654551e-09,0.23459983181,0.029105423115,0.056222227162,0.039769417317
stcyr234,ok,,31.728623161,332073098.61,1833014.0325,7176800.6058,151813473.51,1068722.8708,27826589.323,-5.1050152439e-09,9.4594201726e-09,-2.2894007648e-08,-7.4623000933e-08,1.2795453195e-08,6.764920627e-09,5.6402121142e-08,3.9544872824e-08,-5.9094845065e-10,-1.2237618609e-08,-4.7748982889e-09,3.7865666868e-08,-7.1417898768e-09,-3.9179989837e-09,-5.4872194203e-08,0.23300291538,0.066325371872,0.022431726633,0.10338587951
stcyr24,ok,,31.161674813,327703688.24,1139612.3635,5018424.6842,151996454.45,681819.55412,26799132.454,-5.2923137729e-09,1.234175621e-08,-2.9097758816e-08,-9.2016721653e-08,1.2178843239e-08,3.1780391103e-09,7.6921931748e-08,4.7919543217e-08,-7.5707906184e-10,-4.461429378e-08,-1.0118583501e-08,4.5550906236e-08,-1.67690326e-08,-6.4438156672e-09,-5.519987551e-08,0.23309727742,0.054044538211,0.050843000779,0.087661184441
ste87151,ok,,30.805890964,322750225.5,1509476.1157,5074734.3726,148122110.53,789318.02895,25800495.103,-1.9175967006e-09,1.5590937025e-08,-2.6118640897e-08,-2.7178648773e-08,9.0274618002e-09,-4.2229889296e-09,1.9591727805e-08,5.1239326635e-08,-1.4664861317e-10,-1.1892473972e-07,-3.4630443183e-09,4.7840024872e-08,-5.6121574658e-09,-4.9950979779e-09,3.7007889251e-09,0.23495927474,0.022139131753,0.17951405418,0.029573245187
ste87391,ok,,30.914230467,323816051.7,1675172.6614,5979012.2117,148536860.45,904235.68155,25991956.851,-2.8467495026e-09,1.2806950079e-08,-2.4628737869e-08,-3.5948305798e-08,8.6167751933e-09,-5.13186149e-09,2.9316359899e-08,4.650184692e-08,-2.2271205872e-10,-6.8432206437e-08,-5.2714974526e-09,4.3398148864e-08,-8.2030174107e-09,-4.9439236067e-09,1.0739107907e-08,0.23301830748,0.034771905499,0.11463576138,0.049109964635
stf86361,ok,,30.697846251,322047571.62,1481929.9942,5346479.5625,147578355.68,810082.24036,25528871.734,-2.9111073704e-09,1.5285750487e-08,-2.6181973276e-08,-3.9624253206e-08,8.9165484465e-09,-6.8702649401e-09,3.0429553116e-08,5.0026406373e-08,-2.1406868281e-10,-1.158234352e-07,-5.5843527137e-09,4.6435378461e-08,-1.0063804249e-08,-5.2353258934e-09,1.0590546726e-08,0.23629052778,0.034128685267,0.17164222266,0.045094467472
supermarine371i,ok,,30.460610538,320786780.81,1209590.6282,4331992.5095,148772143.01,632998.0637,25390615.245,-6.8665830075e-10,1.4965963935e-08,-2.9777331972e-08,-1.0461343452e-08,9.2163807198e-09,-8.338018744e-10,8.9297089403e-09,5.6869751199e-08,-1.0026032158e-10,-9.9305314543e-08,-2.1253675769e-09,5.1135313118e-08,-3.2866366422e-09,-8.0689976282e-09,-2.2864581891e-09,0.23362463606,0.0062838931978,0.12011877781,0.010801292247
supermarine371ii,ok,,29.388586777,314200565.95,448224.41747,1805800.6528,149369060.3,225270.96673,23697440.648,-1.1506578155e-09,2.693055775e-08,-4.9013588515e-08,-2.954827403e-08,9.715032289e-09,-4.2477941488e-09,2.385183879e-08,9.5621900645e-08,-1.9735517003e-10,-4.4041608396e-07,-8.3415006728e-09,8.0567242549e-08,-2.2355440843e-08,-1.5977794777e-08,-5.6567452047e-09,0.22932873491,0.0063641449769,0.19740524268,0.010690976547
tempest1,ok,,31.221798666,326292001.81,1577474.9631,5142391.9712,149922964.52,828118.29932,26678635.128,-6.483866677e-10,1.3571151278e-08,-2.5366746807e-08,-9.2834202339e-09,8.986069216e-09,-2.1754679338e-10,7.5881545474e-09,4.942397973e-08,-5.8448222943e-11,-6.757617491e-08,-7.8733408097e-10,4.6630592773e-08,-1.2022391868e-09,-3.8119422592e-09,-4.1684325659e-09,0.23887817136,0.0068632578129,0.10659972402,0.011970123814
tempest2,ok,,30.861755498,323861156.63,1060586.3989,3565233.4803,150189738.1,547297.07121,26097127.18,-7.2273194956e-10,1.6464006922e-08,-3.1182115717e-08,-1.2739370042e-08,9.1951896684e-09,-3.5355420539e-10,1.022177733e-08,6.0650132325e-08,-8.0920064582e-11,-1.040247347e-07,-1.5787849996e-09,5.6224695097e-08,-2.4958154519e-09,-5.8335456745e-09,-5.7795505435e-09,0.23891396419,0.0062165672582,0.11032721877,0.010841078009
