airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ag52,ok,,3.1774538767,281903385.77,41747.649941,142461.38968,11732579.617,258229.64442,23680531.682,0.0,0.0,0.0,-5.2271651667e-08,1.0593360521e-08,3.8681639902e-08,5.2273253552e-07,0.0,0.0,2.7019757689e-07,0.0,0.0,0.0,0.0,-1.9177182725e-08,0.24472035755,0.012286510799,-0.011280113855,0.021822854905
ag53,ok,,3.1767569262,281841552.39,38444.122334,133336.88815,11733430.208,239392.78857,23671417.502,0.0,0.0,0.0,-5.7748149523e-08,1.0667329946e-08,5.0898861152e-08,5.8000719586e-07,0.0,0.0,5.1807458087e-07,0.0,0.0,0.0,0.0,-2.3271835585e-08,0.24488730469,0.012460587237,-0.019916922565,0.022297867592
ag54,ok,,3.1754169898,281722673.37,32157.138287,116103.57338,11734790.384,203703.66741,23653291.759,0.0,0.0,0.0,-7.1063148611e-08,1.0850915731e-08,8.3472371713e-08,7.2450657144e-07,0.0,0.0,1.219802151e-06,0.0,0.0,0.0,0.0,-3.3429340188e-08,0.24520163414,0.012806678578,-0.039225346452,0.023298058007
ag55,ok,,3.1739899437,281596065.98,23329.21164,89999.525417,11740216.927,152005.8476,23641401.338,0.0,0.0,0.0,-1.030903655e-07,1.1313507165e-08,1.6164732803e-07,1.0732399412e-06,0.0,0.0,2.7416642936e-06,0.0,0.0,0.0,0.0,-5.8629151463e-08,0.24572551213,0.013481516808,-0.063960866551,0.02503784173
ah21-7,ok,,3.1800931323,282137540.25,56013.941648,177028.57318,11729174.308,334350.19902,23715754.177,0.0,0.0,0.0,-4.7319320287e-08,1.0158057156e-08,-4.8604323396e-08,4.6504393119e-07,0.0,0.0,-1.2852653275e-06,0.0,0.0,0.0,0.0,8.7921289798e-09,0.24420278944,0.016539239873,0.071992777057,0.026048943626
ah21-9,ok,,3.1613520752,280474835.57,34005.888388,108387.60767,11693363.625,201471.86487,23361387.359,0.0,0.0,0.0,-6.133903583e-08,1.0337530046e-08,-6.1725431507e-08,5.9812458785e-07,0.0,0.0,-2.0812819151e-06,0.0,0.0,0.0,0.0,1.143809122e-08,0.24479995134,0.012922289281,0.07077584051,0.020339757976
ah6407,ok,,3.2130555464,285061962.3,27009.834985,165089.79132,11781914.878,232462.3888,24325059.188,0.0,0.0,0.0,-1.755348162e-07,1.2268228075e-08,-7.4305674327e-10,2.5356402482e-06,0.0,0.0,-9.977412805e-07,0.0,0.0,0.0,0.0,-5.1147758582e-08,0.24761402152,0.037866534914,0.026948827344,0.068487224687
ah7476,ok,,3.2194013455,285624960.94,21965.640081,170127.20511,11785000.671,219156.38256,24431274.544,0.0,0.0,0.0,-2.047318143e-07,1.1347170004e-08,-2.4300439939e-07,3.4608276214e-06,0.0,0.0,-3.6318565487e-06,0.0,0.0,0.0,0.0,-2.6447290667e-08,0.2482251891,0.043431019955,0.079776053775,0.076019293914
ah63k127,ok,,3.2051486002,284360458.82,93168.243672,322940.23563,11687952.238,617035.34278,24010518.092,0.0,0.0,0.0,-4.3696358459e-08,1.0539427103e-08,-1.2025566609e-08,4.7521062925e-07,0.0,0.0,-7.8212966657e-07,0.0,0.0,0.0,0.0,-1.3035697052e-08,0.24460129821,0.02499641043,0.072869647358,0.044274539701
ah79100a,ok,,3.1837032061,282457825.63,51316.003794,211659.08679,11686015.245,358174.00269,23683650.446,0.0,0.0,0.0,-6.7262810594e-08,9.9993491814e-09,8.3208238675e-09,8.2108091154e-07,0.0,0.0,5.1211076016e-07,0.0,0.0,0.0,0.0,9.0584999175e-09,0.24198717219,0.024877188027,-0.026279477711,0.042134591171
