airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,stf12r,stf13r,stf14r,stf15r,stf16r,stf23r,stf24r,stf25r,stf26r,stf34r,stf35r,stf36r,stf45r,stf46r,stf56r,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
mh61,ok,,3.1583391293,32614357.182,75919.79408,332086.94778,14792391.627,42321.731967,2697545.5667,15085689.027,-147628.87768,-273979.3214,384056.64211,-10576661.889,-209501.92646,-362584.90693,148438.93791,-3624477.349,3058.7980184,13926.276938,69564.236568,-41297.174274,64132.217944,-56807.146146,-2.4654521307e-08,1.6482504586e-09,-9.935165905e-08,-2.6673630271e-07,9.2410965091e-08,2.6926322833e-08,2.2510398719e-07,1.2417563428e-07,-1.8488419072e-09,-3.6861054248e-07,-1.0316793069e-06,-2.4818946414e-08,8.9247670535e-06,-1.0434955768e-07,-2.9179048686e-07,0.24035858784,0.0083218246807,0.027984836481,0.017089848354
mh60,ok,,3.1607705882,32639465.465,72635.493317,322503.42882,14811752.348,40832.872053,2704393.9813,15107826.334,-176479.78587,-329935.15592,499808.10264,-10534170.019,-247141.776,-436384.91568,189933.57442,-3612257.4021,-2123.6964018,13743.645451,79350.57198,-41306.360439,76509.678996,-78750.850938,-2.553432872e-08,2.5194759051e-09,-1.3083590247e-07,-3.5001921703e-07,9.3419917212e-08,3.7603008543e-08,2.8728056755e-07,1.5929784633e-07,-2.6691429833e-09,-1.2110870548e-07,-9.4336330908e-07,-2.8456174157e-08,9.249311406e-06,-1.2547398245e-07,-3.4748860494e-07,0.23916148379,0.010901066498,0.0087967905674,0.020866765745
mh62,ok,,3.1524134493,32553166.083,61803.411907,277376.58693,14807762.413,34503.370219,2686990.6583,15120852.286,-142301.48941,-301508.07141,461515.86068,-10528999.595,-200013.98213,-398706.92341,176591.56085,-3619588.9163,-3870.6534901,12453.28143,68554.486025,-35297.260679,69911.133206,-77133.299207,-2.5512104965e-08,2.3768608024e-09,-1.3917439975e-07,-3.7208483857e-07,9.3441368962e-08,3.6457321283e-08,3.0819673288e-07,1.7174498754e-07,-2.3500598396e-09,-8.3049070026e-08,-1.1065128363e-06,-3.2563868121e-08,1.0948019166e-05,-1.2104802261e-07,-3.358531909e-07,0.23945631096,0.010064714459,0.0051327158833,0.019047609631
mh64,ok,,3.1432761874,32458810.819,52682.404955,239408.68738,14793322.407,29251.515295,2666960.7032,15120003.306,-112256.86572,-275128.39804,426128.95974,-10502590.974,-158671.06865,-363756.37291,163959.22096,-3617990.9479,-5163.1751523,11268.084945,58915.411555,-30199.964404,63660.544863,-75028.017178,-2.5491882622e-08,2.0891256434e-09,-1.4754473262e-07,-3.9423563308e-07,9.343993291e-08,3.4983269839e-08,3.2984785119e-07,1.8472303277e-07,-2.0299711222e-09,-2.0423365673e-08,-1.2854347453e-06,-3.7169384059e-08,1.2915552198e-05,-1.1464374173e-07,-3.1901930226e-07,0.23936713105,0.0092990827765,0.0010759520209,0.01737717807
mh70,ok,,3.1859369553,32899344.106,91736.190826,397151.92309,14883638.408,52374.33364,2761378.9469,15174756.542,-178538.10968,-553123.56303,945621.67619,-10605350.116,-252757.82642,-732065.63324,354126.29302,-3624983.9415,8609.0021489,13585.859859,100794.36162,-59160.29723,130154.27458,-181693.56659,-2.8256780364e-08,5.6688889477e-09,-1.7281016614e-07,-4.610168245e-07,9.3486400237e-08,2.3652025556e-08,3.7878083997e-07,2.1336135891e-07,-3.704364719e-09,-2.8762440949e-07,-7.9174681578e-07,-4.0546184581e-08,7.2108705674e-06,-1.0166447384e-07,-2.8395104468e-07,0.23916080466,0.020593353792,0.026385567715,0.034747911417
mh78,ok,,3.2204931629,33256186.249,137650.55347,576735.53623,14880172.055,80665.159857,2832898.1915,15080598.326,-512206.7419,-266928.30514,419973.57992,-10398969.869,-691676.55057,-352846.98167,133259.69363,-3529835.7501,-3023.2431899,18479.788955,131073.70039,-71759.558157,60543.246234,4106.5550549,-2.4058646823e-08,4.2996325044e-09,-8.2876626977e-08,-2.2129307221e-07,9.0060835573e-08,6.0391275014e-08,1.3121579933e-07,7.6812565621e-08,-2.491474921e-09,8.671463515e-09,-3.5799843714e-07,6.0641825283e-09,4.6782211464e-06,-1.6355163878e-07,-4.4127767042e-07,0.23248499556,0.0095876880458,-0.0011936317522,0.018061927401
mh80,ok,,3.1891109053,32932119.668,106745.16341,468932.0329,14816518.503,62084.444953,2760807.7334,15055553.318,-459451.31778,-408514.43771,651915.1392,-10395012.813,-617898.6285,-540096.27061,229249.77458,-3543177.6877,538.60546071,14231.778299,138166.43132,-60442.758138,93978.248786,-61937.301247,-2.6169932216e-08,4.749725372e-09,-1.3374079401e-07,-3.5566351741e-07,9.6477412089e-08,6.8353496007e-08,2.5251980559e-07,1.4108628484e-07,-4.9192083816e-09,6.0292176875e-08,-4.7905856055e-07,-7.3431560434e-09,6.0811554377e-06,-1.9383226949e-07,-5.205531007e-07,0.23433678259,0.014523352433,-0.006435898273,0.026955267912
mh83,ok,,3.1671881242,32705735.678,102098.03552,530660.84161,14554879.088,66343.961067,2686055.3313,14722039.501,-325186.81459,-856208.21419,1511283.4239,-9891392.5386,-460200.61824,-1132956.7042,549273.6486,-3325552.7775,-7425.8934497,14515.979884,166782.31662,-82995.180448,184853.15243,-261472.04952,-3.4428504516e-08,-3.1773255674e-09,-2.2402701075e-07,-5.9849299737e-07,1.006626644e-07,6.7667715302e-08,5.609512407e-07,2.791681295e-07,-8.7535957757e-09,3.6329950344e-07,-3.1397323751e-07,-5.5134095923e-08,5.6808406328e-06,-1.4923958761e-07,-4.1580174246e-07,0.22582760438,0.033502892356,-0.037092165605,0.057272019696
mh82,ok,,3.1951333579,32994310.083,113113.32295,514606.18576,14774564.643,68190.336262,2767384.9595,14983751.33,-457872.69682,-620121.43949,1041476.8096,-10300991.468,-620665.2816,-820134.38222,373497.41668,-3493111.9923,5329.488925,12214.035021,162578.12841,-72400.098568,140811.41455,-146227.92559,-2.9105464992e-08,2.5822039938e-09,-1.6948370759e-07,-4.509909067e-07,9.9150323851e-08,6.6536580111e-08,3.6098246586e-07,1.9478344797e-07,-7.3422262547e-09,1.1332447833e-07,-3.9580930235e-07,-2.5296804927e-08,5.5337961247e-06,-1.8181443291e-07,-4.914599148e-07,0.23224460027,0.022996562295,-0.012818508315,0.040831926239
mh81,ok,,3.1917565801,32959440.035,109628.69148,489868.59342,14796752.847,64853.373943,2763539.4534,15021641.893,-461315.35329,-516945.70156,850848.03188,-10349513.267,-622489.85857,-683558.00532,303105.47649,-3519429.1165,2895.4207926,13103.555955,151050.50014,-65898.998016,118180.84184,-104941.61881,-2.7624684808e-08,3.7063654558e-09,-1.5388111303e-07,-4.0928654095e-07,9.8070093417e-08,6.7963413134e-08,3.1066718666e-07,1.7073752907e-07,-6.2506103634e-09,9.3693795038e-08,-4.3483681687e-07,-1.6853898696e-08,5.8201151474e-06,-1.8925659102e-07,-5.0967659597e-07,0.23333001445,0.01885218198,-0.01027152815,0.034058037159
mh84,ok,,3.1766271566,32803207.154,107865.30746,548987.69379,14580443.173,70022.162876,2709955.1662,14717413.392,-230101.11513,-807870.82607,1454140.2548,-9833230.2049,-344962.38842,-1068935.6097,526933.6424,-3297129.3329,-22044.867063,19535.240221,142047.47636,-83044.284643,170674.86756,-259652.92097,-3.2439247787e-08,-4.9466666991e-09,-1.9759650083e-07,-5.3034358107e-07,9.4535409987e-08,5.7905365015e-08,5.0037862679e-07,2.5067606396e-07,-6.1026152705e-09,4.2792971927e-07,-2.6663245249e-07,-5.3073714397e-08,5.3777828836e-06,-1.0960712338e-07,-3.1713005217e-07,0.22414215977,0.032174769264,-0.046158770742,0.053973494427
